% Model:              slipdepen_streampot.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 8 2025, 21:20
% Dimension:          1
% Nodes:              401
% Expressions:        1
% Description:        Dependent variable psi
% X                       psi
0.3325000000000001        0.0012380205279165226
0.3350000000000001        0.0012692811627612786
0.3375000000000001        0.001301335139864058
0.3400000000000001        0.0013342024940205426
0.3425000000000001        0.0013679037684148378
0.3450000000000001        0.0014024600274597338
0.34750000000000014       0.0014378928699627556
0.35000000000000014       0.0014742244426262363
0.35250000000000015       0.0015114774538898567
0.3550000000000001        0.0015496751881242908
0.3575000000000001        0.0015888415201848456
0.3600000000000001        0.0016290009303341747
0.3625000000000001        0.001670178519543413
0.3650000000000001        0.0017124000251812824
0.3675000000000001        0.0017556918371009814
0.3700000000000001        0.0018000810141349166
0.3725000000000001        0.0018455953010075806
0.3750000000000001        0.0018922631456771565
0.37750000000000006       0.0019401137171166812
0.38000000000000006       0.001989176923545895
0.38250000000000006       0.0020394834311251555
